path,label
emoji_embedding/data/emojipedia/flag-_kenya/lg.jpg,flag-_kenya
emoji_embedding/data/emojipedia/flag-_kenya/samsung.jpg,flag-_kenya
emoji_embedding/data/emojipedia/flag-_kenya/apple.jpg,flag-_kenya
emoji_embedding/data/emojipedia/flag-_kenya/skype.jpg,flag-_kenya
emoji_embedding/data/emojipedia/flag-_kenya/emojidex.jpg,flag-_kenya
emoji_embedding/data/emojipedia/flag-_kenya/twitter.jpg,flag-_kenya
emoji_embedding/data/emojipedia/flag-_kenya/joypixels.jpg,flag-_kenya
emoji_embedding/data/emojipedia/flag-_kenya/openmoji.jpg,flag-_kenya
emoji_embedding/data/emojipedia/flag-_kenya/whatsapp.jpg,flag-_kenya
emoji_embedding/data/emojipedia/flag-_kenya/google.jpg,flag-_kenya
emoji_embedding/data/emojipedia/flag-_kenya/facebook.jpg,flag-_kenya
emoji_embedding/data/emojipedia/person_bouncing_ball/lg.jpg,person_bouncing_ball
emoji_embedding/data/emojipedia/person_bouncing_ball/samsung.jpg,person_bouncing_ball
emoji_embedding/data/emojipedia/person_bouncing_ball/microsoft.jpg,person_bouncing_ball
emoji_embedding/data/emojipedia/person_bouncing_ball/apple.jpg,person_bouncing_ball
emoji_embedding/data/emojipedia/person_bouncing_ball/skype.jpg,person_bouncing_ball
emoji_embedding/data/emojipedia/person_bouncing_ball/emojidex.jpg,person_bouncing_ball
emoji_embedding/data/emojipedia/person_bouncing_ball/twitter.jpg,person_bouncing_ball
emoji_embedding/data/emojipedia/person_bouncing_ball/joypixels.jpg,person_bouncing_ball
emoji_embedding/data/emojipedia/person_bouncing_ball/openmoji.jpg,person_bouncing_ball
emoji_embedding/data/emojipedia/person_bouncing_ball/whatsapp.jpg,person_bouncing_ball
emoji_embedding/data/emojipedia/person_bouncing_ball/google.jpg,person_bouncing_ball
emoji_embedding/data/emojipedia/person_bouncing_ball/facebook.jpg,person_bouncing_ball
emoji_embedding/data/emojipedia/envelope_with_arrow/htc.jpg,envelope_with_arrow
emoji_embedding/data/emojipedia/envelope_with_arrow/lg.jpg,envelope_with_arrow
emoji_embedding/data/emojipedia/envelope_with_arrow/mozilla.jpg,envelope_with_arrow
emoji_embedding/data/emojipedia/envelope_with_arrow/softbank.jpg,envelope_with_arrow
emoji_embedding/data/emojipedia/envelope_with_arrow/docomo.jpg,envelope_with_arrow
emoji_embedding/data/emojipedia/envelope_with_arrow/samsung.jpg,envelope_with_arrow
emoji_embedding/data/emojipedia/envelope_with_arrow/microsoft.jpg,envelope_with_arrow
emoji_embedding/data/emojipedia/envelope_with_arrow/apple.jpg,envelope_with_arrow
emoji_embedding/data/emojipedia/envelope_with_arrow/skype.jpg,envelope_with_arrow
emoji_embedding/data/emojipedia/envelope_with_arrow/messenger.jpg,envelope_with_arrow
emoji_embedding/data/emojipedia/envelope_with_arrow/emojidex.jpg,envelope_with_arrow
emoji_embedding/data/emojipedia/envelope_with_arrow/twitter.jpg,envelope_with_arrow
emoji_embedding/data/emojipedia/envelope_with_arrow/joypixels.jpg,envelope_with_arrow
emoji_embedding/data/emojipedia/envelope_with_arrow/openmoji.jpg,envelope_with_arrow
emoji_embedding/data/emojipedia/envelope_with_arrow/au_by_kddi.jpg,envelope_with_arrow
emoji_embedding/data/emojipedia/envelope_with_arrow/whatsapp.jpg,envelope_with_arrow
emoji_embedding/data/emojipedia/envelope_with_arrow/google.jpg,envelope_with_arrow
